pos,name,x,y
OL,Derek Newton,2.20748089229,-1.32980773014
OL,Edmond Kugbila,-1.40154468256,-3.13735727367
OL,Tyler Larsen,-0.915648094252,10.2933122839
OL,Isaiah Thompson,19.5015390607,1.60242259332
OL,Lamar Holmes,-1.4821735173,-4.24535469135
OL,Emmett Cleary,-6.0789979056,-3.26233039526
OL,Ben Jones,-4.90753505934,2.10609715965
OL,Ricky Henry,12.8969116456,-2.97626378355
OL,Cyril Richardson,11.3692686574,1.78279360541
OL,Nate Solder,-8.20231373929,-6.87282510853
OL,Justin Britt,4.02719743645,-1.90523435815
OL,Rishaw Johnson,-6.40901555518,-5.42843398356
OL,Kelechi Osemele,-3.60903906719,5.53366807748
OL,Donald Stephenson,-12.4071104069,-9.92864273443
OL,T.J. Johnson,4.15745197885,7.31738183622
OL,Dustin Waldron,-1.86383556694,2.86175730867
OL,James Brown,0.329966677892,-1.76034778783
OL,Alex Linnenkohl,12.2708133166,0.948749500825
OL,Derek Sherrod,4.59224063103,-1.84967167396
OL,Reid Fragel,-13.1991479223,4.3218027221
OL,Lamar Mady,5.07516444499,10.6383013087
OL,Wesley Johnson,-9.48563258152,-1.99808257672
OL,Cameron Fleming,5.10350850061,1.41116408098
OL,Luke Joeckel,-4.88559969395,0.0825527285622
OL,Jah Reid,-10.0580936539,-0.0828954425109
LB,Luke Kuechly,-7.11375726967,4.19137830734
LB,Jonathan Brown,9.43419540968,-6.83911840072
LB,Jamie Collins,-23.2575381757,-4.00596577852
LB,Khaseem Greene,2.37106654256,-6.13558261546
LB,Khalil Mack,-11.5640510058,0.223538656263
LB,Jordan Tripp,-4.13751939321,-0.742763531842
LB,Von Miller,-9.52523403043,-1.94335206705
LB,Tyler Starr,2.54722258303,1.01825109401
LB,Zaviar Gooden,-13.0582642887,3.69049474712
LB,Doug Hogue,-4.50260412339,-4.86589657031
LB,Kevin Pierre-Louis,-11.2008415068,5.14322085985
LB,Bruce Taylor,3.11393930241,-4.07648693357
LB,Brian Rolle,2.16864206601,5.07464378424
LB,Nathan Williams,3.29225936723,1.27762690038
LB,Darius Fleming,2.915492415,4.13833771315
LB,Jeremy Beal,12.2110104566,-0.965245794591
LB,Anthony Barr,-0.231343760293,-7.84279398042
LB,Sean Spence,-1.70984665802,-10.9661673619
LB,Greg Lloyd,8.12189385565,-0.809457920307
LB,Prince Shembo,-6.36563784869,3.25279806095
LB,Ryan Baker,3.65768641198,7.1906400616
LB,Kyle Van Noy,6.0788043967,-1.82911607947
LB,Steve Beauharnais,-0.603500981494,-3.98778140014
LB,Bruce Irvin,-5.44266036044,-0.103100153047
LB,Mason Foster,7.56395617099,-0.906146885657
LB,Max Bullough,6.62804850551,7.04220104739
LB,Jonathan Stewart,0.140798794227,-4.12914047253
LB,Brandon Hepburn,-5.80309674188,-2.23746670377
LB,Demario Davis,-8.23175562944,9.18052260757
LB,Sam Acho,4.77386895379,0.209976436889
LB,James Thomas,4.03376298291,-0.0577290266901
LB,Brandon Lindsey,0.323527410113,0.0259625644775
LB,Chris Galippo,10.9063393717,-3.91175294384
LB,Melvin Ingram,7.18352177931,5.34921143922
LB,Ryan Shazier,-13.2387946437,2.32821857394
LB,Anthony Hitchens,2.73521392244,-0.0177233682362
LB,Devon Kennard,6.07708471206,-0.0352770063941
LB,Nick Bellore,7.93321592955,0.224575495894
LB,Carl Bradford,-5.99104090661,0.192865632807
LB,Nigel Bradham,-4.88062787928,1.18561485644
LB,Brandon Marshall,9.59850458528,5.10157049478
LB,Keith Pough,-0.598247112796,-5.98560420624
LB,Akeem Ayers,1.99972906831,-5.06954927975
LB,Brooks Reed,4.95456633391,6.95225874156
LB,Adrian Moten,3.85028487378,-5.00711088273
LB,Chris Borland,4.77447096857,3.99368878626
